text
"It's worth one listen. The last 5 songs are the best. Started from the bottom shouldn't have been 
his opening song. Drake isn't a bad boy, and this album seems like a fraud, 
a little. Too Much is my fave track. "
"Excellent! Make no mistake, this is probably the best album of the year tied with J 
Cole. Every album he keeps proving his credibility. Yes he's no Nas, Common 
or Jay-Z. But you can always appreciate his stories, the pain the love the 
loss the bravado. Great replay value, unlike the trash that Kanye put out 
earlier this year. "
"Music to STUNT to. Other than the few lyrics set to past romances, seems Drake went with the 
""F@*£ you I'm rich now"" version of drake, that is ignorant bliss, but its 
understood as he's rapping the life he knows. - Just the market is full of 
such lyrics, would've been nice to have more of a mixture between the woman 
and how they fit the new lifestyle, with the more witty version of Drake 
when he knew his audience would understand. "
"He's real. #NWTS A lot of different pieces to him rolled into this album. You get the loved 
up side, failed romamces, broken family, life lessons he's had to learn, 
and the tougher hiphop side of him all on the one album. Its not the same 
as Take Care cause it takes you to where he is as a person now. Drake will 
aswell be one of my favourite rappers. He's real. Don't expect him to 
sugarcoat anything out here. "
"Drizzy at his best I loved his last album. But this is much better! I can't get enough of 
Tuscan Leather and The Language "
"Moments of magic There are some great parts on this album. However the majority is average. 
Nothing like take care. Similar to yeezus in the sense that sometimes it 
feels like drake just chose complete abstract sounds to sing/rap over( not 
as bad as yeezus). Drake is fantastic a lyrical genius and the if your 
thinking about buying the album you have to weigh lyrical genius against 
abstract sounds. I am in no way a ""true fan"" of drake. Therefore I am 
unbiased. "
"IYRTITL mixtape has been out for a while but i still think this was his 
best album ever. Been a Drake listener/fan or whatever you want to call it 
since Take Care. So, my opinion is this: NWTS and TC were his best albums, 
but NWTS has that little extra. It is worth listening. All songs on this 
record are very good and catchy while on his last mixtape, there's only a 
few I really like. Can't wait for his next album. I'm curious if it will 
top this. -Take Care OVOXO "
"Good Love it.. even the song Worst Behaviour is soo dry, the rest is GREAT! "
"Amazing Drake captures emotions and energy like no other rapper. This album is on 
par with Kanyes Dark Twisted Fantasy "
"Great album but... One of the song ""The Motion"" is not in the deluxe album. Other than that 
its a must buy. "
"Owned it Sounds from his old mixtapes combined with sounds from take care this 
album could not have been made more perfect! "
" Quick Question; Howbis it not avaliable in my county? Where do I live 
UnicornTopia? Tf "
"You wanna get a listen to sampha's 'too much' heard tht first, but drakes 
taken it to the next level "
"Love It Just 1% better than take care, take care is a realllllyyyyyyy reaalllyyyy 
good album & so is this:') "
Hold on were going home I haft to pee just hold on were going home. Love this song lol 
Don't let 'started from the bottom' fool you I really enjoyed this album. 
Toooo beast Well done drake good one 
"Drizzy is a legend Loved the whole album. Go Drake, go! <3 "
"NWTS A must have, who knows, knows and if you don't get to know!! "
"Class! Okay so, yes I may be bias, and he is no young Jay-Z but, the stories and 
emotion, any one can empathize with "
"AWESOME !!! Don't know how drake does it but this album is epic!!!! The motion is not 
on the deluxe copy??? If u like drake buy asap !!! "
Absolutely Fantastic Album Im not one to review music. But I really like this album 
